cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,32,44,agent,212,41,0.6140226349599863,0.7230344083949324,2.3567557485728727,0.7760197755082698,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,34,44,agent,149,37,0.6943658278297062,0.7678769285123439,1.3302834839434237,0.6858570574708762,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,36,44,agent,54,17,0.3663481928674712,0.4313436573455468,0.7157825157046318,0.7809904168986589,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,38,44,agent,126,18,0.28706701466135814,0.25135371457008043,0.9456947031948302,0.8277968307645251,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,40,44,agent,136,12,0.19830702866778058,0.17614465455115882,0.8815452257792155,0.8877765876993848,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,42,44,agent,170,25,0.3236544270602312,0.3472316471785973,1.5236283594369888,0.8649802374449548,0
qwen14B-int4_retail_50runs,int4,275b79d1-c1ec-4b4b-9c8d-46aa3e584c55,2,12,agent,40,13,3.257346968205718,4.508095682842731,5.918860889398134,0.4672036479050844,0
qwen14B-int4_retail_50runs,int4,275b79d1-c1ec-4b4b-9c8d-46aa3e584c55,4,12,agent,62,15,4.134232668160066,3.9347026318943117,8.337486712137858,0.41615258133605104,0
qwen14B-int4_retail_50runs,int4,275b79d1-c1ec-4b4b-9c8d-46aa3e584c55,6,12,agent,45,16,0.7856411801437488,0.9267476430923125,1.4790469501167536,0.6820592301858113,0
qwen14B-int4_retail_50runs,int4,275b79d1-c1ec-4b4b-9c8d-46aa3e584c55,8,12,agent,45,14,0.7541242157335438,1.0211447230072477,1.7292004860937595,0.7159284431238728,0
qwen14B-int4_retail_50runs,int4,275b79d1-c1ec-4b4b-9c8d-46aa3e584c55,10,12,agent,77,22,0.7554438294009712,0.8780994552417646,1.414800865067677,0.6768336180787023,0
